sku_id,region,regional_price,in_stock_locally
1,Northeast,81.78,0
1,Mid-Atlantic,87.77,1
1,Southeast,78.11,1
1,Midwest-North,76.47,0
1,Midwest-South,85.58,1
1,South,75.84,0
1,Southwest,89.46,1
1,Mountain,78.54,1
1,Pacific-Northwest,80.6,1
1,Pacific-Southwest,82.74,1
2,Northeast,290.36,1
2,Mid-Atlantic,272.2,1
2,Southeast,281.51,1
2,Midwest-North,266.95,1
2,Midwest-South,289.26,1
2,South,290.12,1
2,Southwest,259.3,0
2,Mountain,310.46,1
2,Pacific-Northwest,272.91,1
2,Pacific-Southwest,294.47,1
3,Northeast,425.64,1
3,Mid-Atlantic,417.57,0
3,Southeast,438.24,1
3,Midwest-North,443.11,1
3,Midwest-South,464.75,1
3,South,503.69,1
3,Southwest,500.92,0
3,Mountain,469.47,0
3,Pacific-Northwest,422.55,1
3,Pacific-Southwest,418.57,1
4,Northeast,57.92,1
4,Mid-Atlantic,63.13,1
4,Southeast,56.64,1
4,Midwest-North,54.99,1
4,Midwest-South,54.2,0
4,South,62.47,1
4,Southwest,53.38,1
4,Mountain,61.69,1
4,Pacific-Northwest,62.45,1
4,Pacific-Southwest,57.56,1
5,Northeast,34.92,1
5,Mid-Atlantic,31.46,1
5,Southeast,31.33,1
5,Midwest-North,34.06,1
5,Midwest-South,35.08,1
5,South,30.08,1
5,Southwest,34.26,1
5,Mountain,34.32,1
5,Pacific-Northwest,32.71,1
5,Pacific-Southwest,29.47,1
6,Northeast,137.26,1
6,Mid-Atlantic,145.83,1
6,Southeast,163.8,1
6,Midwest-North,148.74,1
6,Midwest-South,143.24,1
6,South,145.08,1
6,Southwest,164.47,1
6,Mountain,155.49,0
6,Pacific-Northwest,160.65,1
6,Pacific-Southwest,163.34,1
7,Northeast,124.72,0
7,Mid-Atlantic,113.22,1
7,Southeast,111.11,1
7,Midwest-North,124.97,0
7,Midwest-South,105.91,1
7,South,115.56,1
7,Southwest,108.57,1
7,Mountain,127.91,1
7,Pacific-Northwest,117.94,1
7,Pacific-Southwest,114.3,0
8,Northeast,236.13,1
8,Mid-Atlantic,216.02,1
8,Southeast,206.84,1
8,Midwest-North,220.88,1
8,Midwest-South,196.75,1
8,South,233.79,1
8,Southwest,200.79,1
8,Mountain,237.13,1
8,Pacific-Northwest,223.58,1
8,Pacific-Southwest,204.8,1
9,Northeast,563.47,1
9,Mid-Atlantic,594.23,1
9,Southeast,531.34,1
9,Midwest-North,558.02,1
9,Midwest-South,525.61,1
9,South,599.32,1
9,Southwest,580.17,1
9,Mountain,595.57,1
9,Pacific-Northwest,600.87,1
9,Pacific-Southwest,629.32,1
10,Northeast,240.31,1
10,Mid-Atlantic,269.28,0
10,Southeast,236.18,1
10,Midwest-North,263.95,1
10,Midwest-South,249.67,1
10,South,228.0,0
10,Southwest,268.08,1
10,Mountain,240.21,1
10,Pacific-Northwest,259.42,0
10,Pacific-Southwest,267.41,1
