transaction_id,customer_id,sku_id,transaction_date,unit_price,quantity,channel,discount_pct
1,1,588,2025-01-05,77.55,1,instore,0.21
2,1,1714,2024-11-05,52.83,1,app,0.17
3,1,148,2025-09-18,58.5,1,online,0.19
4,1,622,2024-09-28,185.75,1,instore,0.15
5,1,766,2025-05-25,105.47,1,instore,0.05
6,2,96,2025-09-17,22.75,1,online,0.14
7,2,796,2024-10-14,24.59,1,instore,0.33
8,2,1947,2025-02-06,62.54,1,online,0.04
9,2,1324,2026-04-16,141.45,1,online,0.12
10,2,158,2024-07-15,616.61,1,online,0.11
11,2,13,2024-11-16,254.05,3,app,0.09
12,2,807,2025-02-17,228.74,1,instore,0.17
13,2,754,2025-05-27,74.06,1,online,0.3
14,2,748,2024-07-20,111.53,2,online,0.03
15,2,246,2025-05-30,129.74,1,app,0.17
16,2,1265,2025-02-18,67.45,1,app,0.07
17,2,952,2025-01-12,23.77,1,instore,0.18
18,2,1541,2024-09-10,118.14,1,online,0.14
19,2,629,2026-03-15,60.02,1,online,0.2
20,2,1850,2024-07-07,430.14,1,online,0.04
21,2,384,2024-09-09,564.59,1,online,0.04
22,2,1361,2025-02-17,200.73,1,online,0.04
23,2,1697,2025-07-22,191.09,2,online,0.11
24,2,1435,2025-08-17,29.11,1,online,0.04
25,3,1838,2025-01-07,39.1,1,online,0.04
26,3,843,2026-03-10,127.77,1,instore,0.06
27,3,1580,2025-11-04,159.8,1,instore,0.1
28,3,1906,2025-09-21,106.71,1,online,0.1
29,3,1347,2024-06-05,83.13,1,instore,0.11
30,3,756,2026-02-04,687.02,1,online,0.06
31,3,366,2025-06-28,119.0,1,online,0.15
32,3,1522,2026-03-30,279.22,1,instore,0.08
33,3,288,2025-10-31,21.21,1,instore,0.06
34,3,1314,2025-10-09,697.46,1,instore,0.07
35,3,1477,2024-11-13,313.52,1,app,0.01
36,3,98,2024-08-07,36.47,2,online,0.13
37,3,634,2025-09-14,156.48,1,instore,0.07
38,3,284,2024-12-18,86.78,1,online,0.06
39,4,1173,2025-11-16,62.24,1,app,0.17
40,4,38,2025-04-05,74.22,2,online,0.11
41,4,1611,2025-07-21,231.64,1,instore,0.05
42,5,1461,2025-07-07,118.87,1,app,0.14
43,5,453,2025-09-09,36.99,1,instore,0.07
44,5,685,2024-11-22,95.62,1,app,0.22
45,5,1451,2024-08-31,98.25,1,app,0.06
46,6,1828,2025-11-04,38.51,1,app,0.08
47,6,1646,2025-05-09,81.25,2,online,0.19
48,6,994,2024-07-26,77.01,1,instore,0.08
49,6,687,2025-02-09,87.18,1,online,0.1
50,6,414,2025-12-29,123.47,1,online,0.08
51,6,1741,2025-02-05,86.75,1,app,0.17
52,7,881,2026-03-04,27.2,1,app,0.14
53,7,13,2025-07-13,223.11,2,app,0.26
54,7,1711,2024-09-07,182.5,1,instore,0.05
55,8,818,2024-06-03,175.57,1,app,0.05
56,8,1425,2026-03-08,244.51,1,online,0.1
57,8,1868,2025-08-10,28.92,1,instore,0.03
58,8,760,2024-06-07,580.13,2,app,0.2
59,8,1930,2025-01-20,36.69,3,online,0.15
60,8,1030,2024-09-15,464.4,1,online,0.13
61,8,1738,2024-06-02,125.35,1,online,0.02
62,8,756,2025-09-06,664.03,3,online,0.02
63,8,1002,2025-02-18,56.36,1,instore,0.01
64,8,439,2025-08-16,426.6,1,online,0.04
65,8,1321,2025-05-02,61.06,1,online,0.3
66,8,438,2025-04-04,784.38,1,online,0.04
67,8,1494,2026-03-26,70.1,1,instore,0.14
68,8,889,2025-07-08,139.93,1,online,0.04
69,8,966,2025-08-23,179.95,1,instore,0.08
70,9,134,2025-10-19,129.38,1,app,0.04
71,9,1064,2024-11-27,40.04,1,instore,0.02
72,9,579,2026-02-10,82.8,1,online,0.11
73,9,1918,2025-09-16,59.66,1,instore,0.02
74,9,661,2024-10-29,98.23,1,app,0.04
75,9,1900,2025-05-31,369.07,2,online,0.18
76,9,419,2025-04-12,392.7,1,online,0.02
77,9,1981,2025-01-03,125.83,1,online,0.06
78,9,1380,2025-06-05,44.92,1,online,0.14
79,9,366,2024-09-24,156.86,1,online,0.03
80,9,677,2025-05-16,136.89,1,instore,0.05
81,9,909,2026-03-17,212.72,1,online,0.09
82,10,1741,2024-11-30,86.77,1,instore,0.12
83,10,78,2025-07-31,176.56,1,instore,0.21
84,10,1713,2026-01-07,742.97,0,instore,0.01
85,10,1697,2024-10-25,186.98,1,online,0.08
86,10,1014,2024-10-04,115.66,1,instore,0.06
87,10,1461,2025-05-19,119.08,3,app,0.07
88,11,546,2024-10-21,187.46,1,online,0.02
89,11,614,2026-04-19,104.26,3,online,0.16
90,11,380,2024-06-15,131.53,1,online,0.02
91,12,133,2025-07-18,177.02,1,app,0.11
92,12,947,2024-08-01,96.57,1,online,0.02
93,12,1,2025-03-26,69.21,1,online,0.16
94,12,264,2024-12-08,126.06,1,instore,0.04
95,12,547,2025-04-17,99.17,1,online,0.25
96,12,802,2025-06-26,90.32,1,online,0.1
97,12,1085,2025-12-31,43.21,3,instore,0.06
98,12,1594,2024-08-29,106.29,3,instore,0.19
99,12,1059,2025-06-16,114.8,1,online,0.12
100,12,1240,2026-03-08,67.64,2,instore,0.1
